addressId,addressLine1,addressLine2,city,postalCode
1,1970 Napa Ct.,,Bothell,98011
2,9833 Mt. Dias Blv.,,Bothell,98011
3,7484 Roundtree Drive,,Bothell,98011
4,9539 Glenside Dr,,Bothell,98011
5,1226 Shoe St.,,Bothell,98011
6,1399 Firestone Drive,,Bothell,98011
7,5672 Hale Dr.,,Bothell,98011
8,6387 Scenic Avenue,,Bothell,98011
9,8713 Yosemite Ct.,,Bothell,98011
10,250 Race Court,,Bothell,98011
11,1318 Lasalle Street,,Bothell,98011
12,5415 San Gabriel Dr.,,Bothell,98011
13,9265 La Paz,,Bothell,98011
14,8157 W. Book,,Bothell,98011
15,4912 La Vuelta,,Bothell,98011
16,40 Ellis St.,,Bothell,98011
17,6696 Anchor Drive,,Bothell,98011
18,1873 Lion Circle,,Bothell,98011
19,3148 Rose Street,,Bothell,98011
20,6872 Thornwood Dr.,,Bothell,98011
21,5747 Shirley Drive,,Bothell,98011
22,636 Vine Hill Way,,Portland,97205
23,6657 Sand Pointe Lane,,Seattle,98104
24,80 Sunview Terrace,,Duluth,55802
25,9178 Jumping St.,,Dallas,75201
26,5725 Glaze Drive,,San Francisco,94109
27,2487 Riverside Drive,,Nevada,84407
28,9228 Via Del Sol,,Phoenix,85004
29,8291 Crossbow Way,,Memphis,38103
30,9707 Coldwater Drive,,Orlando,32804
31,9100 Sheppard Avenue North,,Ottawa,K4B 1T7
32,26910 Indela Road,,Montreal,H1Y 2H5
33,10203 Acorn Avenue,,Calgary,T2P 2G8
34,"94, rue Descartes",,Bordeaux,33000
35,Pascalstr 951,,Berlin,14111
36,34 Waterloo Road,,Melbourne,3000
37,Downshire Way,,Cambridge,BA5 3HX
38,8154 Via Mexico,,Detroit,48226
39,3997 Via De Luna,,Cambridge,02139
40,1902 Santa Cruz,,Bothell,98011
41,793 Crawford Street,,Kenmore,98028
42,463 H Stagecoach Rd.,,Kenmore,98028
43,5203 Virginia Lane,,Kenmore,98028
44,4095 Cooper Dr.,,Kenmore,98028
45,6697 Ridge Park Drive,,Kenmore,98028
46,5669 Ironwood Way,,Kenmore,98028
47,8192 Seagull Court,,Kenmore,98028
48,5553 Cash Avenue,,Kenmore,98028
49,7048 Laurel,,Kenmore,98028
50,25 95th Ave NE,,Kenmore,98028
51,3280 Pheasant Circle,,Snohomish,98296
52,4231 Spar Court,,Snohomish,98296
53,1285 Greenbrier Street,,Snohomish,98296
54,5724 Victory Lane,,Snohomish,98296
55,591 Merriewood Drive,,Snohomish,98296
56,3114 Notre Dame Ave.,,Snohomish,98296
57,7230 Vine Maple Street,,Snohomish,98296
58,2601 Cambridge Drive,,Snohomish,98296
59,2115 Passing,,Snohomish,98296
60,4852 Chaparral Court,,Snohomish,98296
61,7726 Driftwood Drive,,Monroe,98272
62,3841 Silver Oaks Place,,Monroe,98272
63,9652 Los Angeles,,Monroe,98272
64,4566 La Jolla,,Monroe,98272
65,1356 Grove Way,,Monroe,98272
66,4775 Kentucky Dr.,Unit E,Monroe,98272
67,4734 Sycamore Court,,Monroe,98272
68,896 Southdale,,Monroe,98272
69,2275 Valley Blvd.,,Monroe,98272
70,1792 Belmont Rd.,,Monroe,98272
71,5734 Ashford Court,,Monroe,98272
72,5030 Blue Ridge Dr.,,Monroe,98272
73,158 Walnut Ave,,Monroe,98272
74,8310 Ridge Circle,,Monroe,98272
75,3747 W. Landing Avenue,,Monroe,98272
76,2598 La Vista Circle,,Duvall,98019
77,9693 Mellowood Street,,Duvall,98019
78,1825 Corte Del Prado,,Duvall,98019
79,5086 Nottingham Place,,Duvall,98019
80,3977 Central Avenue,,Duvall,98019
81,8209 Green View Court,,Duvall,98019
82,8463 Vista Avenue,,Duvall,98019
83,5379 Treasure Island Way,# 14,Duvall,98019
84,3421 Bouncing Road,,Duvall,98019
85,991 Vista Verde,,Duvall,98019
86,390 Ridgewood Ct.,,Carnation,98014
87,1411 Ranch Drive,,Carnation,98014
88,9666 Northridge Ct.,,Carnation,98014
89,3074 Arbor Drive,,Carnation,98014
90,9752 Jeanne Circle,,Carnation,98014
