salesOrderId,orderDate,dueDate,shipDate,status,salesOrderNumber,purchaseOrderNumber,accountNumber,territory,billToAddress,shipToAddress,creditCardId,creditCardApprovalCode,currencyRateId,subTotal,taxAmount,freight,totalDue
43659,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43659,PO522145787,10-4020-000676,Southeast (United States),"42525 Austell Road-Austell, Georgia, United States","42525 Austell Road-Austell, Georgia, United States",16281.0,105041Vi84182,,20565.6206,1971.5149,616.0984,23153.2339
43660,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43660,PO18850127500,10-4020-000117,Southeast (United States),"6055 Shawnee Industrial Way-Suwanee, Georgia, United States","6055 Shawnee Industrial Way-Suwanee, Georgia, United States",5618.0,115213Vi29411,,1294.2529,124.2483,38.8276,1457.3288
43661,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43661,PO18473189620,10-4020-000442,Canada (Canada),"2573 Dufferin Street-Toronto, Ontario, Canada","2573 Dufferin Street-Toronto, Ontario, Canada",1346.0,85274Vi6854,4.0,32726.4786,3153.7696,985.553,36865.8012
43662,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43662,PO18444174044,10-4020-000227,Canada (Canada),"2500 University Avenue-Toronto, Ontario, Canada","2500 University Avenue-Toronto, Ontario, Canada",10456.0,125295Vi53935,4.0,28832.5289,2775.1646,867.2389,32474.9324
43663,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43663,PO18009186470,10-4020-000510,Southwest (United States),"3065 Santa Margarita Parkway-Trabuco Canyon, California, United States","3065 Santa Margarita Parkway-Trabuco Canyon, California, United States",4322.0,45303Vi22691,,419.4589,40.2681,12.5838,472.3108
43664,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43664,PO16617121983,10-4020-000397,Northwest (United States),"765 Delridge Way Sw-Seattle, Washington, United States","765 Delridge Way Sw-Seattle, Washington, United States",806.0,95555Vi4081,,24432.6088,2344.9921,732.81,27510.4109
43665,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43665,PO16588191572,10-4020-000146,Northwest (United States),"4251 First Avenue-Seattle, Washington, United States","4251 First Avenue-Seattle, Washington, United States",15232.0,35568Vi78804,,14352.7713,1375.9427,429.9821,16158.6961
43666,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43666,PO16008173883,10-4020-000511,Southwest (United States),"9920 Bridgepointe Parkway-San Mateo, California, United States","9920 Bridgepointe Parkway-San Mateo, California, United States",13349.0,105623Vi69217,,5056.4896,486.3747,151.9921,5694.8564
43667,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43667,PO15428132599,10-4020-000646,Central (United States),"St. Louis Marketplace-Saint Louis, Missouri, United States","St. Louis Marketplace-Saint Louis, Missouri, United States",10370.0,55680Vi53503,,6107.082,586.1203,183.1626,6876.3649
43668,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43668,PO14732180295,10-4020-000514,Canada (Canada),"254480 River Rd-Richmond, British Columbia, Canada","254480 River Rd-Richmond, British Columbia, Canada",1566.0,85817Vi8045,4.0,35944.1562,3461.7654,1081.8017,40487.7233
43669,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43669,PO14123169936,10-4020-000578,Northwest (United States),"3250 South Meridian-Puyallup, Washington, United States","3250 South Meridian-Puyallup, Washington, United States",15538.0,25877Vi80261,,714.7043,70.5175,22.0367,807.2585
43670,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43670,PO14384116310,10-4020-000504,Central (United States),"Redford Plaza-Redford, Michigan, United States","Redford Plaza-Redford, Michigan, United States",18017.0,105888Vi93490,,6122.082,587.5603,183.6126,6893.2549
43671,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43671,PO13978119376,10-4020-000200,Northwest (United States),"15 East Main-Port Orchard, Washington, United States","15 East Main-Port Orchard, Washington, United States",13693.0,25904Vi70960,,8128.7876,780.8136,244.0042,9153.6054
43672,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43672,PO13862153537,10-4020-000119,Canada (Canada),"99, Rue Saint-pierre-Pnot-Rouge, Quebec, Canada","99, Rue Saint-pierre-Pnot-Rouge, Quebec, Canada",3980.0,95915Vi20982,4.0,6124.182,587.6023,183.6257,6895.41
43673,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43673,PO13775141242,10-4020-000618,Northeast (United States),"Stateline Plaza-Plaistow, New Hampshire, United States","Stateline Plaza-Plaistow, New Hampshire, United States",1417.0,35931Vi7271,,3746.2015,357.9614,111.8629,4216.0258
43674,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43674,PO12760141756,10-4020-000083,Canada (Canada),"600 Slater Street-Ottawa, Ontario, Canada","600 Slater Street-Ottawa, Ontario, Canada",19204.0,26081Vi99806,4.0,2624.382,251.9407,78.7315,2955.0542
43675,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43675,PO12412186464,10-4020-000670,Central (United States),"Kansas City Factory Outlet-Odessa, Missouri, United States","Kansas City Factory Outlet-Odessa, Missouri, United States",11886.0,126121Vi61402,,5716.3102,546.8759,170.8987,6434.0848
